
2025-07-13 20:28:01.224 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:28:02.621 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:28:01.224 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:30:08.102 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:30:08.247 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:30:08.247 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:32:05.241 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/agent_core/core.py')}
2025-07-13 20:32:07.607 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:32:07.762 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:32:07.763 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:33:17.520 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:33:17.681 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:33:17.681 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:34:15.532 | INFO     | __main__:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:34:15.706 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:34:17.167 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:34:15.706 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:36:58.929 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:36:59.086 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:36:59.086 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:37:54.422 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:37:54.594 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:37:54.594 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:40:03.747 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:40:03.892 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:40:03.893 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:41:43.860 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:41:44.021 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:41:44.021 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
